id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.15563_19.42533,2020,radar fijo,RVEF017,Eje 5 Av. Montevideo,y Nte. 31-A,-99.1556279,19.4253317
-99.15563_19.42533,2021,radar fijo,RVEF017,Eje 5 Av. Montevideo,y Nte. 31-A,-99.1556279,19.4253317
-99.15563_19.42533,2023,radar fijo,VVEF012 ,Avenida Chapultepec Y,Guaymas,-99.1556279,19.4253317
-99.15571_19.44385,2020,radar móvil,NA,Av. Revolucion  Sentido Norte ,-,-99.15571,19.44385
-99.15571_19.44385,2021,radar móvil,NA,Av. Revolucion  Sentido Norte ,-,-99.15571,19.44385
-99.15571_19.44385,2022,radar móvil,NA,Av. Revolucion  Sentido Norte ,-,-99.15571,19.44385
-99.15571_19.44385,2023,radar móvil,NA,Av. Revolucion  Sentido Norte ,-,-99.15571,19.44385
-99.1557_19.44038,2020,radar móvil,NA,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,-99.1557,19.44038
-99.1557_19.44038,2021,radar móvil,NA,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,-99.1557,19.44038
-99.1557_19.44038,2022,radar móvil,NA,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,-99.1557,19.44038
-99.1557_19.44038,2023,radar móvil,NA,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,-99.1557,19.44038
-99.15585_19.43978,2019,radar móvil,NA,Entre Circuito Bicentenario y,Av. Insurgentes,-99.15585038,19.43977992
-99.15889_19.47367,2019,radar fijo,VVEF031,Calz. Vallejo,y Cuauhtémoc,-99.15889,19.473673
-99.15889_19.47367,2020,radar fijo,VVEF031,Calz. Vallejo,y Cuauhtémoc,-99.15889,19.473673
-99.15889_19.47367,2021,radar fijo,VVEF031,Calz. Vallejo,y Cuauhtémoc,-99.15889,19.473673
-99.15889_19.47367,2022,radar fijo,VVEF031,Av. Constituyentes Y ,Camino De Los Toros,-99.15889,19.473673
-99.15952_19.47357,2023,radar fijo,023-SSC-AZC-FC-124.182,Calle C,Calle B,-99.15952,19.473573
-99.15952_19.47357,2024,radar fijo,023-SSC-AZC-FC-124.182,Calle C,Calle B,-99.15952,19.473573
-99.15955_19.44182,2020,radar móvil,RVEM006,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,-99.15955,19.44182
-99.15955_19.44182,2021,radar móvil,RVEM008,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,-99.15955,19.44182
-99.15955_19.44182,2022,radar móvil,RVEM008,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,-99.15955,19.44182
-99.15955_19.44182,2023,radar móvil,NA,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,-99.15955,19.44182
-99.15955_19.44724,2019,radar fijo,VVEF001,Av.608,y Av. 508,-99.159553,19.447244
-99.15955_19.44724,2020,radar fijo,VVEF001,Av.608,y Av. 508,-99.159553,19.447244
-99.15955_19.44724,2021,radar fijo,VVEF001,Av.608,y Av. 508,-99.159553,19.447244
-99.15955_19.44724,2022,radar fijo,VVEF001,Av. 608 Y ,Av. 508,-99.159553,19.447244
-99.15955_19.44724,2023,radar fijo,VVEF001 ,Av. 608 Y,Av.508,-99.159553,19.447244
-99.1596_19.44728,2024,radar fijo,062-SSC-CUH-EV-119.238,Sabino,Naranjo,-99.1596012,19.4472752
-99.16049_19.44205,2020,radar móvil,NA,Av. Ribera De San Cosme Sentido Poniente  ,-,-99.16049,19.44205
