id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
15-031,TABACALERA,15,CUAUHTEMOC,6063
13-043,SAN GREGORIO ATLAPULCO (PBLO),13,XOCHIMILCO,5947
06-058,PANTITLAN III,6,IZTACALCO,5927
13-054,SAN MARCOS (AMPL),13,XOCHIMILCO,5911
14-033,NONOALCO,14,BENITO JUAREZ,5866
07-296,SANTA CRUZ MEYEHUALCO (U HAB) II,7,IZTAPALAPA,5853
05-181,TEPEYAC INSURGENTES,5,GUSTAVO A. MADERO,5789
15-070,ROMA NORTE III,15,CUAUHTEMOC,5669
07-171,RENOVACION,7,IZTAPALAPA,5657
14-028,NAPOLES,14,BENITO JUAREZ,5649
15-068,ROMA NORTE I,15,CUAUHTEMOC,5566
17-026,FEDERAL,17,VENUSTIANO CARRANZA,5558
15-012,EX HIPODROMO DE PERALVILLO,15,CUAUHTEMOC,5488
15-027,SAN SIMON TOLNAHUAC,15,CUAUHTEMOC,5446
06-040,AGRICOLA ORIENTAL I,6,IZTACALCO,5435
03-106,SANTA CATARINA (BARR),3,COYOACAN,5425
13-067,SANTIAGO TULYEHUALCO (PBLO),13,XOCHIMILCO,5425
17-076,JARDIN BALBUENA I,17,VENUSTIANO CARRANZA,5412
07-279,LEYES DE REFORMA 3A SECCION I,7,IZTAPALAPA,5393
05-119,MAGDALENA DE LAS SALINAS,5,GUSTAVO A. MADERO,5370
14-045,STA CRUZ ATOYAC,14,BENITO JUAREZ,5305
07-142,MIRASOLES (U HAB),7,IZTAPALAPA,5292
16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO,5287
05-249,VALLEJO I,5,GUSTAVO A. MADERO,5286
07-196,SAN MIGUEL (BARR),7,IZTAPALAPA,5277
03-024,COPILCO UNIVERSIDAD,3,COYOACAN,5268
15-055,HIPODROMO II,15,CUAUHTEMOC,5144
10-248,LOMAS DE SANTA FE II,10,ALVARO OBREGON,5139
12-153,SAN LORENZO HUIPULCO,12,TLALPAN,5092
05-070,GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),5,GUSTAVO A. MADERO,5039
07-182,SAN JOSE ACULCO,7,IZTAPALAPA,4998
07-181,SAN JOSE (BARR),7,IZTAPALAPA,4996
11-038,SAN PEDRO TLAHUAC (PBLO),11,TLAHUAC,4935
10-182,PROGRESO TIZAPAN,10,ALVARO OBREGON,4909
07-284,LOMAS DE SAN LORENZO II,7,IZTAPALAPA,4908
06-060,PANTITLAN V,6,IZTACALCO,4902
07-297,SANTA MARIA AZTAHUACAN (EJ) I,7,IZTAPALAPA,4899
16-042,LOMAS DE CHAPULTEPEC I,16,MIGUEL HIDALGO,4895
07-044,EJTO CONSTITUCIONALISTA,7,IZTAPALAPA,4788
16-018,BOSQUES DE CHAPULTEPEC (POLANCO),16,MIGUEL HIDALGO,4760
07-130,LOS ANGELES,7,IZTAPALAPA,4752
14-041,SAN JOSE INSURGENTES,14,BENITO JUAREZ,4726
05-170,SANTA ISABEL TOLA (PBLO),5,GUSTAVO A. MADERO,4622
14-064,NARVARTE V,14,BENITO JUAREZ,4617
16-035,IRRIGACION,16,MIGUEL HIDALGO,4596
16-080,TLAXPANA,16,MIGUEL HIDALGO,4589
07-273,ERMITA ZARAGOZA (U HAB) I,7,IZTAPALAPA,4583
15-045,DOCTORES I,15,CUAUHTEMOC,4557
02-036,INDUSTRIAL VALLEJO,2,AZCAPOTZALCO,4525
07-217,SANTA MARTHA ACATITLA_(PBLO),7,IZTAPALAPA,4465
10-151,MERCED GOMEZ,10,ALVARO OBREGON,4442
15-069,ROMA NORTE II,15,CUAUHTEMOC,4442
07-280,LEYES DE REFORMA 3A SECCION II,7,IZTAPALAPA,4409
17-046,PENITENCIARIA (AMPL),17,VENUSTIANO CARRANZA,4407
04-056,SAN PEDRO CUAJIMALPA (PBLO),4,CUAJIMALPA DE MORELOS,4395
06-041,AGRICOLA ORIENTAL II,6,IZTACALCO,4393
14-051,ALAMOS I,14,BENITO JUAREZ,4391
