folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20220614/00850,2022-06-14,San Miguel Chapultepec I Seccion,Cuauhtémoc,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20220614/00850,2022-06-14,San Miguel Chapultepec I Seccion,Cuauhtémoc,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20220625/05116,2022-06-25,Granjas Coapa,Tlalpan,03-052,HACIENDAS DE COYOACAN (FRACC),3,COYOACAN
C5/20220625/05116,2022-06-25,Granjas Coapa,Tlalpan,12-164,SAUZALES CEBADALES (U HAB),12,TLALPAN
C5/20220708/03879,2022-07-08,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220708/03879,2022-07-08,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220708/04466,2022-07-08,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220708/04466,2022-07-08,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220708/05103,2022-07-08,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20220708/05103,2022-07-08,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220708/05304,2022-07-08,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20220708/05304,2022-07-08,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220709/00327,2022-07-09,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20220709/00327,2022-07-09,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220722/00273,2022-07-22,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220722/00273,2022-07-22,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220806/01210,2022-08-06,D M Nacional,Gustavo A. Madero,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20220806/01210,2022-08-06,D M Nacional,Gustavo A. Madero,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C5/20220806/04690,2022-08-06,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220806/04690,2022-08-06,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20221005/01830,2022-10-05,San Miguel Chapultepec I Seccion,Miguel Hidalgo,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20221005/01830,2022-10-05,San Miguel Chapultepec I Seccion,Miguel Hidalgo,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20221019/02239,2022-10-19,Barrio La Purisima Ticoman,Gustavo A. Madero,05-082,INFONAVIT (U HAB),5,GUSTAVO A. MADERO
C5/20221019/02239,2022-10-19,Barrio La Purisima Ticoman,Gustavo A. Madero,05-111,LA PURISIMA TICOMAN (BARR),5,GUSTAVO A. MADERO
C5/20221020/03124,2022-10-20,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20221020/03124,2022-10-20,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20221107/01626,2022-11-07,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20221107/01626,2022-11-07,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20221115/03927,2022-11-15,D M Nacional,Gustavo A. Madero,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20221115/03927,2022-11-15,D M Nacional,Gustavo A. Madero,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C5/20221202/02833,2022-12-02,Jardin Balbuena,Venustiano Carranza,17-034,KENNEDY (U HAB),17,VENUSTIANO CARRANZA
C5/20221202/02833,2022-12-02,Jardin Balbuena,Venustiano Carranza,17-077,JARDIN BALBUENA II,17,VENUSTIANO CARRANZA
C5/20221203/02272,2022-12-03,Ampliacion Fuentes Del Pedregal,Tlalpan,10-091,JARDINES DEL PEDREGAL,10,ALVARO OBREGON
C5/20221203/02272,2022-12-03,Ampliacion Fuentes Del Pedregal,Tlalpan,12-049,FUENTES DEL PEDREGAL,12,TLALPAN
C5/20221205/03407,2022-12-05,Barrio La Purisima Ticoman,Gustavo A. Madero,05-082,INFONAVIT (U HAB),5,GUSTAVO A. MADERO
C5/20221205/03407,2022-12-05,Barrio La Purisima Ticoman,Gustavo A. Madero,05-111,LA PURISIMA TICOMAN (BARR),5,GUSTAVO A. MADERO
C5/20221212/03717,2022-12-12,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20221212/03717,2022-12-12,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20221212/03946,2022-12-12,Potrero Del Llano,Tláhuac,09-002,SAN ANTONIO TECOMITL (PBLO),9,MILPA ALTA
C5/20221212/03946,2022-12-12,Potrero Del Llano,Tláhuac,11-012,JAIME TORRES BODET,11,TLAHUAC
C5/20221224/04628,2022-12-24,Alvaro Obregon,Iztapalapa,07-006,ALVARO OBREGON_(FRACC),7,IZTAPALAPA
C5/20221224/04628,2022-12-24,Alvaro Obregon,Iztapalapa,07-042,EJERCITO DE AGUA PRIETA,7,IZTAPALAPA
C5/20230202/01531,2023-02-02,Cuchilla Del Tesoro,Venustiano Carranza,05-035,CUCHILLA DEL TESORO,5,GUSTAVO A. MADERO
C5/20230202/01531,2023-02-02,Cuchilla Del Tesoro,Venustiano Carranza,17-047,PEÑON DE LOS BAÑOS,17,VENUSTIANO CARRANZA
