anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2023,2023_479287_2149337,479287.0396629301,2149337.404308697,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,2022,2023,0,2022_479287_2149337,RVEM010,radar móvil
2023,2023_479617_2155020,479616.9501869441,2155019.523240142,1,027-SSC-AZC-FC-124.214,radar fijo,Cristóbal Colón,Av. 16 De Septiembre,2022,2023,3294.1065435347427,2022_482120_2152878,RVEM005,radar móvil
2023,2023_479642_2140608,479642.1121701955,2140607.6775308824,1,JVEF014 ,radar fijo,Aun/Av. Ejército Nacional Y,Miguel De Cervantes Saavedra,2022,2023,0,2022_479642_2140608,JVEF014,radar fijo
2023,2023_479657_2140585,479656.50682262913,2140585.4312539683,1,036-SSC-AOB-EV-119.30,radar fijo,Etna,Calzada De Las Águilas,2022,2023,26.49722353805867,2022_479642_2140608,JVEF014,radar fijo
2023,2023_479664_2140578,479664.0604192804,2140578.263556931,1,038-SSC-AOB-EV-119.46,radar fijo,Calzada De Las Águilas,Cóndor,2022,2023,36.70023843922991,2022_479642_2140608,JVEF014,radar fijo
2023,2023_479708_2140605,479708.1162554607,2140605.4127016896,1,JVEF013,radar fijo,Aun/Gobernador José Ceballos Y,Av. Constituyentes,2022,2023,0,2022_479708_2140605,JVEF013,radar fijo
2023,2023_480032_2138962,480032.4562703695,2138961.7284793,1,,radar móvil,Av. Revolución Y ,Calle Rafael Checa,2022,2023,0,2022_480032_2138962,RVEM011,radar móvil
2023,2023_480140_2141035,480140.17624916753,2141035.1306192167,1,JFCF028,radar fijo,Av. Marina Nacional Y,Felipe Carrillo Puerto,2022,2023,0,2022_480140_2141035,JFCF028,radar fijo
2023,2023_480154_2153182,480154.14502876386,2153181.8866764423,1,002-SSC-AZC-EV-124.14,radar fijo,Camino A Nextengo,Aquiles Elourdy,2022,2023,1988.8192982899334,2022_482120_2152878,RVEM005,radar móvil
2023,2023_480655_2146016,480654.65082818404,2146016.06310946,1,031-SSC-MIH-FC-124.246,radar fijo,General José Morán,Gral. Benjamín Hill,2022,2023,38.268903650252746,2022_480661_2145978,BCFC002 | BFCF001,radar fijo
