term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-12:tratada,6.930706691630663,1.1201198334007731,6.187468951949976,7.539781369632292e-10,4.733845544935921,9.127567838325405,-12,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-2:tratada,0.5359283261038642,0.37887886353261957,1.4145110157556293,0.1573836262260145,-0.20715668121326147,1.2790133334209899,-2,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::0:tratada,0.5684058934019653,0.37056048708528344,1.5339085337265015,0.12522663230000383,-0.15836450410662672,1.2951762909105575,0,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::1:tratada,1.9562229976447094,0.4453737194468012,4.392317984263944,1.1862676155061797e-5,1.0827234033727038,2.829722591916715,1,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::2:tratada,0.5664174143945425,0.4507055052390146,1.2567350693756547,0.2090114744393726,-0.3175392691103628,1.4503740978994477,2,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::3:tratada,1.7264982829000686,0.5020024639030768,3.4392227270689433,5.965903826454512e-4,0.7419342428674767,2.7110623229326603,3,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::4:tratada,2.2889165835536156,0.513174084594781,4.460312109020507,8.68610754203082e-6,1.282441941894854,3.295391225212377,4,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::5:tratada,1.4758142239657568,0.4856747817141981,3.0386881912147947,0.0024100542516525174,0.523273231420347,2.4283552165111666,5,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::6:tratada,1.3835853550170658,0.4762226637022248,2.905332863120941,0.0037130998814194557,0.4495825493649578,2.3175881606691737,6,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::7:tratada,2.380810346708603,0.5163148398077184,4.611160019330926,4.284284314631191e-6,1.3681758256397671,3.393444867777439,7,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::8:tratada,4.229926885979583,0.5820402991099731,7.267412398158298,5.420753068826569e-13,3.088386775004879,5.371466996954287,8,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::9:tratada,3.4691564196009748,0.5674634572143268,6.113444620083615,1.1910206704763466e-9,2.356205479755249,4.5821073594467006,9,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::10:tratada,5.073684502020319,0.5966988155999042,8.502923701833359,3.80428400511407e-17,3.90339503371378,6.2439739703268575,10,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::11:tratada,0.46741719283699745,0.46007712352337865,1.0159539975763343,0.3097868506953295,-0.4349197955930213,1.3697541812670162,11,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
